11.4820758,0.159952299
26.48201919,0
41.48199095,0.305095362
56.48192687,0.589984902
71.48200005,0.292356909
86.48196802,0.093749994
101.4820215,1.067206257
116.4820225,0.640750461
116.4820289,0.640750461
131.4818467,1.096385472
146.4818717,2.686495812
161.4818146,4.611759243
176.4820849,5.984123613
206.4821195,4.874811435
221.4818919,5.204003181
236.4820662,6.190637154
251.4822077,5.15687718
266.4820847,4.425639777
281.4820425,4.207266297
296.4821844,3.763867731
311.4823131,2.584588188
326.4821867,1.161395508
341.4820968,0.176895069
356.4820053,0.086408127
