x,y
5.462130387030442,2.7994476120802574
20.46198608377091,2.720946111076046
35.46220248627964,2.763554040051531
50.462127072084996,2.8262422890402377
65.46215307263626,2.419804061995819
80.46215148140965,1.469314665067941
95.46228162933421,0.607555182010401
110.46211805098427,0.0
110.46211805591612,0.0
110.46212652923136,0.0
125.46207207243293,0.24485440202988684
140.46209645183052,1.0986445079906844
155.4619881036007,3.512863731069956
185.46186979616309,8.49497937608976
200.46213539520852,8.756400042038877
215.4622075130243,8.103664140042383
230.4620883352683,7.37355625507189
245.46208374265763,7.01656581601128
260.4619795161832,7.231111485045403
275.46205768416434,7.480421208019834
290.4622103699542,7.5291159840417095
305.4620827474167,7.028174751030747
320.46234751776115,5.8074795480351895
350.46218861299053,2.8871735100401565
